Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Afternoon,madhyhna kla,Seh Pehar,"Mathiyam ,Pirpagal",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
As directed by physician,,Hasb-e-hidayat,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
At night / At bed time,Naisa / Ratri,Ba waqt-e-khuaab,Eravil Padukku poauthu,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Chewing,,Mazgh,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Ear drop,Karna purana,Qutoor-e-Uzn,Kadhilidal,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Empty stomach,abhakta,Khuloo-e-Meda,Verum Vaitril,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Enemata,vasti / basti,Huqnah,Malam Kalartal,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Eye drop,Aksi ascyotana,Qutoor-e-chashm,Kalikam,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Gargles,kavala,Ghargharah,Koppalippu,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
In the evening,sandhykla,Ba waqt-e-shaam,Maalai,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Insufflation,,Nafkh,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Just after meals,adhobhakta,Ba'd-e-Ghiza,UnavukkupPin,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Just before meals,prgbhakta,Qabl-e-Ghiza,Unaverkku Nun,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
licking,lehana,Chaatna / La'q,Nakkal,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
local application,,Latkh,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Medicinal application in the eye,ajana,Shaafah / Kaajal / Kohl,Kalikkam Anjanam,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Medicine applied on forehead,tilaka,Zimaad brae Peshaani,Netri Patru,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Mouth kept filled with medicine,gaa,Mazmazah,Vayal Adaithal,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Nasal drop,,Qutoor-e-Anf,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Nasal snuff,Pradhamananasya,Istinshaaq,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
oral,,Dakhili Iste'maal,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Oral administration,auadhi pna,Istemaal-e Khurdani,Ul Marunthu,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Oral drop,,Wajr,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Pouring,,Nutool,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Smearing,,Markh,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Sprinkle,Parieka,Zarr,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Sprinkling,,Nushooh,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Tooth powder,Dantamajana,Sann-al-Asnaan,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
Vapourisation,,Inkebaab/ Bakhoor,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Administration.asp
